run_id,etape,regle,lignes_entree,lignes_sortie,lignes_impactees,details,timestamp
20260620_214227,01_renommage_colonnes,Mapping colonnes espagnol -> français métier,518096,518096,0,"Colonnes renommées : id_patient, sexe, age, nom_test, valeur, service, date_prelevement",2026-06-20T21:41:08.198123
20260620_214227,02_conversion_types,"date_prelevement -> datetime (dayfirst=True), valeur -> float, age -> float",518096,518096,23863,23863 valeurs non numériques tracées dans valeur_originale,2026-06-20T21:41:08.198123
20260620_214227,03_imputation_age,Médiane de l'âge par groupe sexe (M/F/I) ; médiane globale en fallback,518096,518096,603,603 âges imputés par médiane du groupe sexe. Fallback médiane globale utilisé pour 0 cas résiduels.,2026-06-20T21:41:08.198123
20260620_214227,04_suppression_invalides,"Suppression si id_patient, valeur, nom_test ou date_prelevement est vide",518096,494233,23863,23863 lignes supprimées (champs critiques manquants),2026-06-20T21:41:08.198123
20260620_214227,05_score_qualite,Score = complétude sur 5 champs - pénalité 0.2 si date future. Calculé après suppression des lignes invalides.,494233,494233,0,Score moyen = 95.7/100. 0 dates futures détectées et pénalisées.,2026-06-20T21:41:08.198123
20260620_214227,06_deduplication,Clé composite : id_patient + nom_test + date_prelevement + valeur,494233,494233,0,0 doublons exacts supprimés,2026-06-20T21:41:08.198123
20260620_214227,07_normalisation_libelles,RapidFuzz WRatio >= 80% -> forme canonique du catalogue officiel ; sinon Title Case,494233,494233,2349,2349 libellés normalisés vers les 14 tests du catalogue. Seuil de similarité : 80%.,2026-06-20T21:41:08.198123
20260620_214227,08_uniformisation_services,Service vide -> 'NON RENSEIGNE' ; strip() + upper() sur tous,494233,494233,106890,106890 services vides remplacés par 'NON RENSEIGNE',2026-06-20T21:41:08.198123
20260620_214227,09_pseudonymisation_rgpd,Tri SHA-256 + séquence stable. Mapping persisté dans patient_id_map.json. Assertion anti-collision vérifiée.,494233,494233,18398,18398 patients pseudonymisés au total. 0 nouveaux patients ajoutés ce run. Zéro collision vérifiée par assertion. Mapping persisté dans data/processed/patient_id_map.json.,2026-06-20T21:41:08.198123
